Year,Platform,Title,Institution,Grade,
2015,Coursera , [The Data Scientist's Toolbox](https://www.coursera.org/learn/data-scientists-tools),JHU        ,[100%](https://www.coursera.org/account/accomplishments/records/G8dhtkM92KtfkbCD)  ,
2015,Coursera , [R Programming](https://www.coursera.org/learn/r-programming),JHU,[100%](https://www.coursera.org/account/accomplishments/records/YB5A3haQh69yCd9j)  ,
2015,Coursera , [Getting and Cleaning Data](https://www.coursera.org/learn/data-cleaning) ,JHU, [100%](https://www.coursera.org/account/accomplishments/records/haUTYgVwNteRZEgf)  ,
2015,Coursera , [Exploratory Data Analysis](https://www.coursera.org/learn/exploratory-data-analysis) ,JHU, [100%](https://www.coursera.org/account/accomplishments/records/qntw3gt4WDtvzs5z)  ,
2015,Coursera , [Reproducible Research](https://www.coursera.org/learn/reproducible-research) ,JHU, [100%](https://www.coursera.org/account/accomplishments/records/Xt2fcr8CuVKRWHJJ)  ,
2015,Coursera , [Statistical Inference](https://www.coursera.org/learn/statistical-inference) ,JHU, [100%](https://www.coursera.org/account/accomplishments/records/exjFUmUGcL2yDcZM)  ,
2015,Coursera , [Regression Models](https://www.coursera.org/learn/regression-models) ,JHU, [100%](https://www.coursera.org/account/accomplishments/records/qdXugx5LfYfcea6M)  ,
2015,Coursera , [Practical Machine Learning](https://www.coursera.org/learn/practical-machine-learning) ,JHU, [100%](https://www.coursera.org/account/accomplishments/records/p9LDHrN7kmbPsH9z)  ,
2015,Coursera , [Developing Data Products](https://www.coursera.org/learn/data-products) ,JHU, [100%](https://www.coursera.org/account/accomplishments/records/cZsBp9ZEL344gvTC)  ,
2015,Coursera , Data Analysis and Statistical Inference ,Duke U., [99%](https://www.coursera.org/account/accomplishments/records/kKafJGf24JgrqGes)  ,
2015,edX , [The Analytics Edge](https://www.edx.org/course/analytics-edge-mitx-15-071x-3) ,MITx, [96%](https://s3.amazonaws.com/verify.edx.org/downloads/289fec175d904a92b89cc02326537180/Certificate.pdf),
2015,FutureLearn , Big Data , U. Warwick,100%,
2015,Coursera , Introduction to Big Data,U. San Diego, [100%](https://www.coursera.org/account/accomplishments/records/FD55F628DK5N)  ,
2015,Coursera , Hadoop Platform and Application Framework,U. San Diego , [100%](https://www.coursera.org/account/accomplishments/records/WGTXJPDKF9T3)  ,
2015,Coursera , Introduction to Big Data Analytics,U. San Diego , [100%](https://www.coursera.org/account/accomplishments/records/DCUADUGJG737)  ,
2015,Coursera , Programming for Everybody ,U. Michigan, [100%](https://www.coursera.org/maestro/api/certificate/get_certificate?course_id=972508)  ,
2015,Coursera , [Using Python to Access Web Data](https://www.coursera.org/learn/python-network-data) ,U. Michigan,100%,
2015,Coursera , [Using Databases with Python](https://www.coursera.org/learn/python-databases) ,U. Michigan,100%,
2015,edX , [Introduction to Computer Science and Programming using Python](https://courses.edx.org/courses/course-v1:MITx+6.00.1x_7+3T2015/info)     ,MITx, [98%](https://courses.edx.org/certificates/a71d94d913a54a4b982a3990074d38aa)  ,
2015,edX , [Introduction to Computational Thinking and Data Science](https://www.edx.org/course/introduction-computational-thinking-data-mitx-6-00-2x-5) ,MITx, [97%](https://courses.edx.org/certificates/722d13ce66e748c08728b6ec2759bff6)    ,
2015,edX , [Data Science and ML Essentials](https://courses.edx.org/courses/course-v1:Microsoft+DAT203x+3T2015/courseware/ff3477b174df4912a9394c2d4b228ce8/b6b2d6976e65447587c67c36616aebcf/) ,Microsoft, [93%](https://courses.edx.org/certificates/32b85ed944cb45f6a0c66233f21a5c73)  ,
2016,Coursera,[Data Manipulation at Scale](https://www.coursera.org/learn/data-manipulation),U. Washington,100%,
2016,Lagonita , [Statistical Learning](https://lagunita.stanford.edu/courses/HumanitiesSciences/StatLearning/Winter2016/about)        ,U. Stanford, [88%](https://prod-cert-bucket.s3.amazonaws.com/downloads/f638980db18044e2923fab89821b4530/Statement.pdf)    ,
2016,edX , [Machine Learning](https://www.coursera.org/learn/machine-learning) ,U. Stanford, [100%](https://www.coursera.org/account/accomplishments/records/LQ7BBGFUMEBX)  ,
2016,edX , [Statistics and R](https://www.edx.org/course/statistics-r-harvardx-ph525-1x-0) ,HarvardX,100%,
2016,edX , [Introduction to Linear Models and Matrix Algebra](https://www.edx.org/course/introduction-linear-models-matrix-harvardx-ph525-2x-1) ,HarvardX,100%,
2016,edX , [Stat. Inference and Modeling for high-throughput Experiments](https://www.edx.org/course/statistical-inference-modeling-high-harvardx-ph525-3x-0),HarvardX, [98%](https://courses.edx.org/certificates/09a2ed41e12f4ca081b9b74a8de0c517)  ,
2016,edX , [High-Dimensional Data Analysis](https://www.edx.org/course/high-dimensional-data-analysis-harvardx-ph525-4x-0) ,HarvardX, [100%](https://courses.edx.org/certificates/fed3b6eff0fb48a0b0b715a63b17e1b0)  ,
2016,edX , [Annotation and Analysis of Genomes and Genomic Assays](https://www.edx.org/course/introduction-bioconductor-annotation-harvardx-ph525-5x-0`0) ,HarvardX, [99%](https://courses.edx.org/certificates/637cccc9d9d8422d8b83c1ba13c75115)  ,
2016,edX , [High-performance Computing for Reproducible Genomics](https://www.edx.org/course/high-performance-computing-reproducible-harvardx-ph525-6x-0) ,HarvardX, [99%](https://courses.edx.org/certificates/fc7f9e458c6f4f6fa74dfcb4f4281d39)  ,
2016,edX , [Case Studies in Functional Genomics](https://www.edx.org/course/case-studies-functional-genomics-harvardx-ph525-7x-0) ,HarvardX, [99%](https://courses.edx.org/certificates/acda3d8ff196497897a748f6e97ce24e)  ,
2016,edX , [Global Warming Science](https://www.edx.org/course/global-warming-science-mitx-12-340x-0) ,HarvardX,100%,
2016,FutureLearn , Causes of Climate Change ,U. Bergen,100%,
2016,Coursera , [Introduction to programming with Matlab](https://www.coursera.org/learn/matlab) ,Vanderbilt U., [100%](https://www.coursera.org/account/accomplishments/records/2PQZJE545CPP),
2017,Coursera , [Bayesian Statistics](https://www.coursera.org/learn/bayesian#syllabus) ,Duke U.,DNF,
2018,edX , [MM1](https://www.coursera.org/learn/bayesian#syllabus) ,UCSD,---,    
2018,edX ,DSE 210x Probability and Statistics in Data Science using Python,UC San DiegoX,99%,    
2018,edX ,6.431x Probability - The Science of Uncertainty and Data,MITx,99%,    
2019,MIT OCW , [Linear Algebra](https://www.coursera.org/learn/bayesian#syllabus) ,MIT,---,    
2019,edX , [Pre-university Calculus                    ](https://www.coursera.org/learn/bayesian#syllabus) ,TU Delft,[99%](https://courses.edx.org/certificates/e5dce0f28b0649908537d5dd40d4af07),  
2019,edX ,14.310x Data Analysis for Social Scientists,MITx ,88%,  
2019,edX , 6.86x Machine Learning with Python - from Linear Models to Deep Learning ,MITx ,96%,   
2019,edX, 18.6501x Fundamentals of Statistics ,MITx, [96%](https://courses.edx.org/certificates/e6f3c549693f418fa3f15469b122f2b2),  
2020,edX,hku01x.1: Epidemics 1,HKUx,[100%] (https://courses.edx.org/certificates/e6e5344094394530bc450cdc99ded727),
2020,Coursera ,Bayesian Statistics: From Concept to Data Analysis,UC SC on Coursera , [100%](https://www.coursera.org/account/accomplishments/certificate/KF3YCZT367ZJ) , 
2020,Coursera,Algorithms for DNA Sequencing,JHU,[100%](https://www.coursera.org/account/accomplishments/certificate/U5PFYBH6FTW3),
2020,Coursera,Introduction to Genetics and Evolution,Duke U.,[100%](https://www.coursera.org/account/accomplishments/certificate/STLGURPACSUN),
2020,Coursera,SQL for Data Science,UC Davis on Coursera,[100%](https://www.coursera.org/account/accomplishments/verify/DRPB9GVRKS5E),
2020,edX,"7.05x Biochemistry: Biomolecules, Methods and Mechanisms",MITx,[77%](https://courses.edx.org/certificates/c32a7a7d3dd1418f9c6a88166fbdd11e),
2020,edX,AB101x: Introduction to Animal Behaviour,WaganingenX,[72%](https://courses.edx.org/certificates/68e94889d60940a2a72afaf2361322b4),
2020,edX,7.28.1x: Molecular Biology - Part 1: DNA Replication and Repair,MITx,[87%](https://courses.edx.org/certificates/a400650d2ca8409cba920c2bbf991aca),
2021,Coursera,Global Warming 1: The Science and Modeling of Climate Change,U. Chicago on Coursera,[98.1%](https://www.coursera.org/account/accomplishments/certificate/A9NPKA2B3XGU),